Bauwerks-Nr.:;Bauwerksname:;Ort:;Teilbauwerks-Nr.:;Teilbauwerksname:;Bauwersart:;Bauwerkskonstruktion:;Baujahr:;Fäche:               [m²];Anderes Bauwerk nach DIN 1076:
B241d;Höfchensweg;Aachen;;Durchlass;Rohrdurchlass;Steinzeug-Rohr DN 500;;5;Ja
B242d;Brüsseler Ring;Aachen;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 700;1910;48;Ja
B243d;Gut Reinartzkehl;Steppenberg;;Durchlass / hinter Bahndamm;Sonstiger Durchlassquerschnitt;Kunststein-Gewölbe;;6;Ja
B244;Grünenthal;Richterich;;Hamco-Rohr;Rohr als Brücke, mit Ummantelung;Hamco-Rohr KB5;2009;22;Nein
B245-G;Grünenthal über Amstelbach;Richterich;;Brücke / über Amstelbach;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Stahlträgerbrücke;2009;11;Nein
B247d;Heyder Feldweg II;Horbach;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 400;;4;Ja
B248d;Durchlass Eich;Eich;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 500;;19;Ja
B249d;Schusterweg;Aachen;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr;;8;Ja
B250d;Kesselweg;Preuswald;;Durchlass;Rohrdurchlass;Stahlbetonrohr DN 500;;5;Ja
B251d;Schlossparkstraße;Laurensberg;;Durchlass;;Stahlbetonrohr;;9;Ja
B252d;"Durchlass ""Alte Tuchfabrik Soers""";Aachen;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN600;;4;Ja
B253d-G;Höfchenspark;Aachen;;Durchlass;Rohrdurchlass;Keramik-Rohr DN 300;;2;Ja
B254d;"Durchlass ""Berliner Ring""";Aachen;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 400;;6;
B255d-K;Orsbacher Straße;Laurensberg;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 400;;6;Ja
B256d;Eselsweg III;Aachen;;Durchlass;Rohrdurchlass;Beton-Rohr DN 300;;1;Ja
B257;Rütscher Straße III;Laurensberg;;Brücke;Plattenbrücke;Einfeld-Stahlbetonplatte;;17;Nein
B258;Wurmbrücke Benno-Levy-Weg;Haaren;;Brücke;Trogbrücke;Einfeld-Aluminium-Fachwerk-Trogbrücke;2020;112;Nein
B259d;Luerweg;Aachen;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 600;;5;Ja
C001;Europaplatz;Aachen;1;Brücke / Nord (Ausfahrt BAB );Plattenbrücke;Einfeld-Stahlbeton-Platte;1958;79;Nein
C001;Europaplatz;Aachen;2;Brücke / Süd (Auffahrt BAB);Plattenbrücke;Einfeld-Stahlbeton-Plattenbrücke;1958;79;Nein
C001;Europaplatz;Aachen;3;Stützwand;Stützwand als Massivwand;Stahlbeton-Schwergewichtswand;1958;186;Nein
C002;Tunnel Richterich;Richterich;1;Rampe Roermonder Straße;Trog, Massivwand/Massivsohle, Abgedichtete Wanne;Stahlbeton-Trog;1968;1;Nein
C002;Tunnel Richterich;Richterich;3;Rampe Horbacher Straße;Trog, Massivwand/Massivsohle, Abgedichtete Wanne;Stahlbeton-Trog;1968;17;Nein
C004;Luxemburger Ring;Aachen;;Brücke;Hohlkastenbrücke;Dreifeld-Spannbeton-Hohlkasten;1970;1148;Nein
C005-F;Kalköfen;Walheim;;Brücke;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Stahlbrücke mit unterspannten Trägern;1934;43;Nein
C007;Krefelder Straße I;Aachen;;Brücke;Schrägseilbrücke, Fächersystem;Spannbetonplattenbalken 1-feld;2012;384;Nein
C008;Krefelder Straße II;Aachen;A;Treppenaufgänge Seite Tivoli;Treppe;angesetzte Treppenläufe aus Stahlbetonfertigteilen;1976;;Nein
C008;Krefelder Straße II;Aachen;B;Brücke;Hohlkastenbrücke;Einfeld-Stahlbeton-Plattenbalken mit 2 Rohren;1977;165;Nein
C008;Krefelder Straße II;Aachen;C;Treppenaufgänge Seite Alkuinstraße;Treppe;angesetzte Treppenläufe aus Stahlbetonfertigteilen;1976;;Nein
C010d;Viehtrift Hahn;Hahn;;Durchlass;Durchlass;gemauerter Durchlass;;50;Ja
C011;Schleckheimer Straße;Kornelimünster;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;1950;116;Nein
C012;Schraungracht;Kornelimünster;;Brücke;Gewölbe- bzw. Bogenbrücke;Einfeld-Naturstein-Gewölbe;1884;20;Nein
C013;Tunnel Schloß-Rahe-Straße;Laurensberg;;Brücke;Gewölbe- bzw. Bogenbrücke;Einfeld-Ziegelstein-Gewölbe;;168;Nein
C014-G;Friedhof Vaalser Straße;Steppenberg;;Brücke;Brücke mit Balken- / Plattenmischsystem;Einfeld-Spannbeton-Platten-Balken;1985;142;Nein
C015;Unterführung Kaiserplatz;Aachen;;Unterführung;Brücke mit einer speziellen Rahmenkonstruktionen;in beide Richtungen durchlaufender Stockwerkrahmen;1959;620;Nein
C016;Vennbahnweg - Knipp;Hahn;;Brücke;Brücke mit balkenartigem oder plattenartigem Tragwerk;Einfeld-Stahlträger mit Holzbohlenbelag;2005;23;Nein
C017;Melatener Straße;Aachen - Hörn;;Brücke;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Stahlbeton-Plattenbrücke;2011;152;Nein
C018;Unterführung Audimax;Aachen;1;zentrale Unterführung;Brücke mit einer speziellen Rahmenkonstruktionen;Stahlbetonrahmen mit Mittelstütze;1967;386;Nein
C018;Unterführung Audimax;Aachen;2;Ausgang Audimax ;Brücke mit einer speziellen Rahmenkonstruktionen;Stahlbetonrahmen mit Treppenaufgang;1967;59;Nein
C018;Unterführung Audimax;Aachen;3;Ausgang Inzestr.;Brücke mit einer speziellen Rahmenkonstruktionen;Stahlbetonrahmen mit Treppenaufgang;1967;109;Nein
C018;Unterführung Audimax;Aachen;4;Ausgang Turmstr.;Brücke mit einer speziellen Rahmenkonstruktionen;Stahlbetonrahmen mit Treppenaufgang;1967;112;Nein
C018;Unterführung Audimax;Aachen;5;Ausgang Pontwall-Wüllnerstr.;Brücke mit einer speziellen Rahmenkonstruktionen;Stahlbetonrahmen mit Treppenaufgang;1967;38;Nein
C019;Unterführung Ponttor;Aachen;1;zentrale Unterführung;Brücke mit einer speziellen Rahmenkonstruktionen;Stahlbetonrahmen mit Mittelstützen;1968;408;Nein
C019;Unterführung Ponttor;Aachen;2;Ausgang Ponttor ;Brücke mit einer speziellen Rahmenkonstruktionen;Stahlbetonrahmen mit Rampenaufgang;1968;22;Nein
C019;Unterführung Ponttor;Aachen;3;Ausgang Malteserstr.;Brücke mit einer speziellen Rahmenkonstruktionen;Stahlbetonrahmen mit Treppenaufgang;1968;74;Nein
C019;Unterführung Ponttor;Aachen;4;Ausgang Pontwall/Roermonder Str.;Brücke mit einer speziellen Rahmenkonstruktionen;Stahlbetonrahmen mit Treppenaufgang;1968;89;Nein
C019;Unterführung Ponttor;Aachen;5;Ausgang Ludwigsallee;Brücke mit einer speziellen Rahmenkonstruktionen;Stahlbetonrahmen mit doppeltemTreppenaufgang;1968;200;Nein
C020;Unterführung Bushof;Aachen;;Unterführung Bushof;Brücke mit einer speziellen Rahmenkonstruktionen;Stahlbetonrahmen mit 4 Ausgängen;1968;865;Nein
C021;Strangenhäuschen;Haaren;;Brücke;Trogbrücke;Einfeld-Aluminium-Fachwerk-Trogbrücke;2020;156;Nein
L001-G;LSW Eilendorf-Nirm;Eilendorf;A;"Bereich 1 ""bephon/8"", Achse 1-20";Lärmschutzwand;Bohrpfahlgegründete LSW;1987;376;Nein
L001-G;LSW Eilendorf-Nirm;Eilendorf;B;"Bereich 2 ""Basilent Typ H1"", Achse 33-60";Lärmschutzwand;Bohrpfahlgegründete LSW;1987;394;Nein
L001-G;LSW Eilendorf-Nirm;Eilendorf;C;"Bereich 3, Winkelstützwand, ""Basilent Typ H1""";Stützwand als Massivwand;Stahlbeton-Winkelstützwand;1987;117;Ja
L001-G;LSW Eilendorf-Nirm;Eilendorf;D;Bereich 4, Basilent Rippe, Achse 21-32;Lärmschutzwand;Bohrpfahlgegründete LSW;2010;81;Nein
L001-G;LSW Eilendorf-Nirm;Eilendorf;E;Bereich 5, Basilent Rippe, Achse 61-72;Lärmschutzwand;Bohrpfahlgegründete LSW;2010;66;Nein
L002;LSW Köhlgasse;Richterich;A;LSW südlich der Brücke D016, Achse 1-23;Lärmschutzwand;Bohrpfahlgegründete LSW;1987;278;Nein
L002;LSW Köhlgasse;Richterich;B;LSW auf der Brücke D016;Lärmschutzwand;Stahlpfosten mit Plexiglas-Elementen;1987;46;Nein
L002;LSW Köhlgasse;Richterich;C;LSW nördlich der Brücke D016, Achse 24-121;Lärmschutzwand;Bohrpfahlgegründete LSW;1987;1278;Nein
S001;Senserbachweg I;Lemiers;;Stützwand;Stützwand als Massivwand;Stahlbeton- und Natursteinstützwand;1985;96;Ja
S002;Steppenbergweg;Steppenberg;;Stützwand;Stützwand als Massivwand;Stahlbeton-Mauerscheiben;;14;Ja
S003-I;Wurmbach / Entenfeld;Haaren;A;Stützwand / am Parkplatz;Stützwand als Massivwand;Stahlbeton-Stützwand;;142;Nein
S003-I;Wurmbach / Entenfeld;Haaren;B;Stützwand / gegenüber Parkplatz;Stützwand als Massivwand;Stahlbeton-Stützwand;;215;Nein
S004;Haarbach / Herrenbergstraße;Eilendorf;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;82;Nein
S005;Fitzeberg;Laurensberg;A;Stützwand - oben;Stützwand als Massivwand;Stahlbeton-Stützwand mit Natursteinverblendung;1987;108;Nein
S005;Fitzeberg;Laurensberg;B;Stützwand - unten;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand;;27;Ja
S006;Iterbach / Eisenhüttenweg;Sief;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;76;Nein
S007;Itertalklinik;Sief;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;105;Nein
S008-K;Teich Aachener Str. / Hundskaulweg;Schleckheim;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;80;Nein
S009;Oberforstbacher Straße I;Kornelimünster;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;1986;60;Ja
S010;Mühlenweidweg;Nirm;;Stützwand;Stützwand als Massivwand;Stahlbeton-Winkelstützwand;1986;22;Nein
S011;Weberstraße I;Aachen;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;1988;12;Ja
S012;Schleidener Straße 267 / Friesenrather Weg;Friesenrath;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;1988;76;Nein
S013;Bechheimer Bach I;Hahn;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;88;Ja
S014;Friesenrather Weg;Friesenrath;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;81;Nein
S015;Dorfstraße;Hahn;A;Stützwand Stahlbeton;Stützwand als Massivwand;Stahlbeton-Stützwand;;32;Nein
