Bauwerks-Nr.:;Bauwerksname:;Ort:;Teilbauwerks-Nr.:;Teilbauwerksname:;Bauwersart:;Bauwerkskonstruktion:;Baujahr:;Fäche:               [m²];Anderes Bauwerk nach DIN 1076:
B034;Weg zum Steinbruch;Hahn;;Brücke;Gewölbe-/Bogenbrücke ohne Aufbeton;Einfeld-Naturstein-Gewölbe;;10;Nein
B035d;Düstergasse III;Aachen;;Durchlass / vor Reithalle;Sonstiger Durchlassquerschnitt;Ziegel-Gewölbe und Stahlbeton-Rohr;;7;Ja
B036;Hahner Straße neben Haus-Nr. 73-79;Hahn;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;;29;Nein
B037;Kalkofenweg gegenüber Haus-Nr. 90;Hahn;1;Brücke / Gewölbe;Gewölbe-/Bogenbrücke ohne Aufbeton;Einfeld-Naturstein-Gewölbe;;20;Nein
B037;Kalkofenweg gegenüber Haus-Nr. 90;Hahn;2;Brücke / Anbau;Plattenbalkenbrücke, Trägerrostbrücke;Einfeld-Stahlbetonplatte;1980;13;Nein
B038;Hahner Straße Haus-Nr. 68;Hahn;;Fußgängerbrücke;Brücke mit Balken- / Plattenmischsystem;Einfeld-Stahlbetonplatte mit IPB-Träger;1982;13;Nein
B039;Hahner Straße gegenüber Gracht Straße;Hahn;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;;34;Nein
B040;Holzbrücke Hahner Straße;Hahn;;Holz-Fußgängerbrücke;Brücke mit Balken- / Plattenmischsystem;Einfeld-Holzbrücke;1980;6;Nein
B041;Indebrücke Hahner Straße;Hahn;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte mit IPB-Träger;;67;Nein
B042d;Nerscheider Weg;Oberforstbach;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr;;18;Ja
B043d;Welsche-Mühle-Graben II;Haaren;;Durchlass;Rohrdurchlass;Beton-Rohr DN 800;;32;Ja
B044;Fußgängerbrücke Korneliusmarkt;Kornelimünster;;Brücke;Balkenbrücke / Mittelträger / Trapezplatte;Stahlträger mit Holzbohlenbelag;2007;21;Nein
B045;Korneliusmarkt;Kornelimünster;;Brücke;Hohlkastenbrücke;Einfeld-Stahlbeton-Platte mit Verdrängungsrohren;1975;230;Nein
B046;Abteigarten;Kornelimünster;;Brücke;Brücke mit Balken- / Plattenmischsystem;Einfeld-Walzträgen in Beton;1983;16;Nein
B047-F;Klauser Wäldchen;Kornelimünster;A;Stahlbetonbrücke;Plattenbrücke;Dreifeld-Stahlbeton-Platte;;22;Nein
B047-F;Klauser Wäldchen;Kornelimünster;B;Holzbrücke;Brücke mit Balken- / Plattenmischsystem;Dreifeld-Holzbrücke;2008;26;Nein
B048-K;Bilstermühle I;Krauthausen;;Indebrücke;Brücke als offener Rahmen;Stahlbeton-Fertigteil;2019;103;Nein
B049-K;Bilstermühle II;Krauthausen;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;1950;18;Nein
B050d-K;Durchlass Lintertstraße;Lintert;;Durchlass;Sonstiger Durchlassquerschnitt;Ziegelstein Gewölbe;;53;Ja
B051;Fußwegbrücke Behindertenwerkstatt;Brand;A;Brücke / Großes Gewölbe;Bogenartige Brücke / Gewölbebrücke;Einfeld-Naturstein-Gewölbe;1788;12;Nein
B051;Fußwegbrücke Behindertenwerkstatt;Brand;B;Brücke / Kleines Gewölbe und Rampe;Gewölbe-/Bogenbrücke ohne Aufbeton;Gewölbe wurde 2012 mit Beton verfüllt;1788;8;Ja
B052;Grachtstraße;Brand;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;;50;Nein
B053;Komericher Weg I;Brand;;Brücke;Brücke als offener Rahmen;Einfeld-Fertigteilüberbau mit Ortbetonergänzung;2015;36;Nein
B054;Triftweg I;Sief;;Brücke;Plattenbrücke;Einfeld-Walzträger in Beton;;18;Nein
B055;Marientalweg;Sief;;Brücke;Plattenbrücke;Einfeld-Walzträger in Beton;;17;Nein
B056-K;Raerener Straße I;Sief;;Brücke;Gewölbe-/Bogenbrücke mit Lastverteilungsplatte;Einfeld-Naturstein-Gewölbe;;30;Nein
B057;Eisenhütte;Sief;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;1995;22;Nein
B058-K;Aachener Straße IV;Walheim;1;Brücke / Altes Gewölbe;Gewölbe- bzw. Bogenbrücke;Einfeld-Stahlbeton-Gewölbe;1950;131;Nein
B058-K;Aachener Straße IV;Walheim;2;Brücke / Anbau;Gewölbe-/Bogenbrücke ohne Aufbeton;Einfeld-Stahlbeton-Gewölbe;1968;27;Nein
B059;Königsmühlenweg I;Walheim;;Brücke;Plattenbalkenbrücke, Trägerrostbrücke;Einfeld-Walzträger in Beton;1967;22;Nein
B060;Eurensteg;Kornelimünster;;Brücke;Plattenbrücke;Dreifeld-Stahlbeton-Platte;;12;Nein
B061;Unter den Weiden;Kornelimünster;;Holzbrücke;Balkenbrücke / Mittelträger / Trapezplatte;Zweifeld-Holzbrücke;1987;10;Nein
B062d;Bierstrauch II;Brand;;Durchlass;Sonstiger Durchlassquerschnitt;Einfeld-Naturstein-Gewölbe;;17;Ja
B063;Pützgasse I;Niederforstbach;;Brücke;Gewölbe- bzw. Bogenbrücke;Einfeld-Ziegelstein-Gewölbe;;12;Nein
B064;Zehnthofweg;Eilendorf;;Brücke;Brücke als geschlossener Rahmen;Einfeld-Stahlbeton-Rahmen;;71;Nein
B065;Gringeltstraße;Eilendorf;;Brücke;Brücke als geschlossener Rahmen;Einfeld-Stahlbeton-Rahmen;1984;15;Nein
B066;Münsterstraße;Niederforstbach;;Brücke;Gewölbe-/Bogenbrücke mit Lastverteilungsplatte;Zweifeld-Naturstein-Gewölbe;2004;49;Nein
B067;Rollefbachweg;Niederforstbach;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;1976;24;Nein
B068;Ürsfeld;Ürsfeld;;Brücke;Gewölbe-/Bogenbrücke mit Lastverteilungsplatte;Einfeld-Gewölbe;;19;Nein
B069d;Niederforstbacher Straße / An der Kaul;Brand;;An der Kaul;Rohrdurchlass;Stahlbeton-Verrohrung;;82;Ja
B070-I;Feldchen;Aachen;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;;52;Nein
B072d;Hergenrather Weg;Preuswald;;Durchlass;Rohrdurchlass;Beton-Rohr DN 600;;5;Ja
B073d;Schurzelter Straße I;Laurensberg;;Durchlass;Sonstiger Durchlassquerschnitt;zwei Beton-Rohre;;44;Ja
B074d;Brunnenstraße I;Laurensberg;;Durchlass;Rechteckdurchlass;Einfeld-Stahlbeton-;;19;Ja
B075;Brunnenstraße II;Laurensberg;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;;22;Nein
B076;Roermonder Straße;Laurensberg;;Brücke;Brücke als geschlossener Rahmen;Einfeld-Stahlbeton-Eiprofil-Rahmen;1966;46;Nein
B077;Schloß-Rahe-Straße I;Laurensberg;;Brücke / Mühlengraben;Brücke als geschlossener Rahmen;Einfeld-Stahlbeton-Rahmen;1976;16;Nein
B078;Schloß-Rahe-Straße II;Laurensberg;;Brücke / Wildbach;Plattenbrücke;Einfeld-Stahlbeton-Platte;1982;22;Nein
B079;Rütscher Straße I;Laurensberg;;Brücke;Brücke als offener Rahmen;Einfeld-Stahlbeton-Rahmen;1979;19;Nein
B080d;Rütscher Straße II;Laurensberg;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr;1979;8;Ja
B081d;Strüverweg I;Laurensberg;;Durchlass;Rechteckdurchlass;Einfeld-Stahlbeton-Platte;1958;28;Ja
B082d;Strüverweg II;Laurensberg;;Durchlass / Wildbach;Rechteckdurchlass;Einfeld-Stahlbeton-Platte;1958;34;Ja
B083;An Kuckesrath;Soers;1;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;1980;5;Nein
B084;Sonnenweg;Soers;;Brücke;Plattenbrücke;Einfeld-Walzträger in Beton;;23;Nein
B085;Kläranlage;Soers;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;;25;Nein
B086;Talbotstraße;Aachen;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;1970;61;Nein
B087;Fußgängerbrücke an der Jülicher Straße;Haaren;;Brücke;Brücke mit Balken- / Plattenmischsystem;Einfeld-Stahlbeton-Plattenbalken;1939;9;Nein
B088;Jülicher Straße;Haaren;;Brücke;Brücke mit Balken- / Plattenmischsystem;Einfeld-Walzträger in Beton;;128;Nein
B089;Wolfsfurth;Berensberg;;Brücke THW;Festbrückengerät Bailey-Brücke;Zweiwandig-Einstöckig;;80;Nein
B090;Heyder Feldweg I;Horbach;;Holzbrücke;Bogenbrücke mit abgehängter Fahrbahn;Holzbogenbrücke;2008;22;Nein
B091d;Kesselstraße;Lichtenbusch;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr;2012;19;Ja
B092;Seffent Fußweg;Laurensberg;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;1966;3;Nein
B093d;Septfontainesweg;Laurensberg;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr;1967;14;Ja
B094d;Vaalser Straße I;Vaalserquartier;;Durchlass / unten;Sonstiger Durchlassquerschnitt;Einfeld-Ziegelstein-Gewölbe;;23;Ja
B095d;Vaalser Straße II;Vaalserquartier;;Durchlass / mitte;Sonstiger Durchlassquerschnitt;Einfeld-Ziegelstein-Gewölbe;;30;Ja
B096d;Vaalser Straße III;Vaalserquartier;;Durchlass / oben;Sonstiger Durchlassquerschnitt;Einfeld-Ziegelstein-Gewölbe;;25;Ja
B098d;Neuenhofstraße;Forst;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr;;36;Ja
B100d;Ritscheider Weg;Oberforstbach;;Durchlass;Rechteckdurchlass;Einfeld-Stahlbeton;;5;Ja
B101d;Pützgasse II;Niederforstbach;1;Durchlass / Holzbach;Rechteckdurchlass;Einfeld-Rechteckdurchlass mit innenliegenden Rohre;;20;Ja
B101d;Pützgasse II;Niederforstbach;2;Durchlass / Graben;Rohrdurchlass;Stahlbeton-Rohr / PVC-Rohr;;6;Ja
B102;Fußweg Rollefbach;Niederforstbach;;Holzbrücke;Brücke mit balkenartigem oder plattenartigem Tragwerk;Einfeld-Holzbrücke;1982;6;Nein
B103;Holzbrücke Rütscher Straße;Laurensberg;;Holzbrücke;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Holzbrücke;1982;9;Nein
B104d;Dorfstraße;Hahn;;Durchlass;Rechteckdurchlass;Zweifeld-Naturstein-Träger;;6;Ja
B105d;Steppenbergweg;Vaalserquartier;;Durchlass;Rohrdurchlass;Beton-Rohr;;5;Ja
B106d;An der Kirschkaul I;Niederforstbach;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 400;;10;Ja
B107d;An der Kirschkaul II;Niederforstbach;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 500;;15;Ja
B108d;An der Kirschkaul III;Niederforstbach;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 500;;24;Ja
B109d;An der Kirschkaul IV;Niederforstbach;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 500;;16;Ja
B110;Rollefbach-Viadukt;Brand;;Viadukt;Gewölbe- bzw. Bogenbrücke;6-Feld-Bruchstein-Gewölbe;1884;516;Nein
B111;Itterbach-Viadukt;Kornelimünster;;Viadukt;Bogenartige Brücke / Gewölbebrücke;6-Feld-Bruchstein-Gewölbe;1884;520;Nein
B113d;Amstelbach I;Richterich;;Durchlass;Sonstiger Durchlassquerschnitt;Einfeld-Ziegelstein-Gewölbe;;51;Ja
B114;Pauwelsstraße;Königshügel;;Brücke;Brücke mit balkenartigem oder plattenartigem Tragwerk;Dreifeld-Spannbeton-Plattenbalken;1980;839;Nein
B115;Kullenhofstraße;Königshügel;;Brücke;Brücke mit Balken- / Plattenmischsystem;Dreifeld-Spannbeton-Plattenbalken;1979;1052;Nein
B116d;Triftweg II;Sief;;Durchlass;Rechteckdurchlass;Einfeld-;;15;Ja
B117d-G;Wildbach Bahndamm;Laurensberg;;Durchlass;Sonstiger Durchlassquerschnitt;Einfeld-Ziegelstein-Gewölbe;;110;Ja
B118;Am alten Bahndamm;Laurensberg;;Brücke;Brücke als geschlossener Rahmen;Einfeld-Stahlbeton-Rahmen;1990;39;Nein
B119-G;Holzbrücke Wildbach;Laurensberg;;Holzbrücke;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Holzbrücke;1989;8;Nein
B120d;Durchlaß Orsbach;Orsbach;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr;;8;Ja
B121;Vennbahn Gewölbe;Eilendorf;A;Brücke / Gewölbe;Gewölbe-/Bogenbrücke ohne Aufbeton;Einfeld-Naturstein-Gewölbe;2004;106;Nein
B121;Vennbahn Gewölbe;Eilendorf;B;Brücke / Stahl-Rohr;Rohr als Brücke, ohne Ummantelung;Stahl-Rohr;;53;Nein
B122d-K;Hitfelder Straße II;Aachen;;Durchlass;Rohrdurchlass;Steinzeug-Rohr;;11;Ja
B123d;Lehnsherrenstraße;Horbach;;Durchlass;Rohrdurchlass;Beton-Rohr;;11;Ja
B125d;Heidweg;Aachen;;Durchlass;Rechteckdurchlass;Einfeld-Stahlbetonplatte;;6;Ja
B127d;alte Bahnstrecke Nr. 3;Richterich;;Durchlass;Sonstiger Durchlassquerschnitt;Einfeld-Ziegelstein-Gewölbe;1872;30;Ja
B128d;alte Bahnstrecke Nr. 4;Richterich;;Durchlass;Sonstiger Durchlassquerschnitt;Einfeld-Stahlbeton-Rahmen;1978;15;Ja
B130d;alte Bahnstrecke Nr. 7;Richterich;;Durchlass;Sonstiger Durchlassquerschnitt;Einfeld-Ziegelstein-Gewölbe;1872;23;Ja
B131-G;Wildbachstraße;Laurensberg;;GFK-Brücke;Brücke mit balkenartigem oder plattenartigem Tragwerk;Einfeld-GFK-Brücke;1998 / 2020;19;Nein
B133;Nirmer Weg II;Haaren;;Brücke;Gewölbe- bzw. Bogenbrücke;Ziegelstein-Gewölbe;;12;Nein
B134d;Karl-Friedrich Straße;Richterich;;Durchlass;Rohrdurchlass;Beton-Rohr DN 600;;7;Ja
B136d-K;Bilstermühle IV;Krauthausen;;Durchlass / neben Brücke B048;Rohrdurchlass;zwei Stahlbeton-Rohre;;52;Ja
B137d-K;Bilstermühle III;Krauthausen;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr;;22;Ja
B138-F;Bilstermühle V;Krauthausen;;Brücke / zum Klauser Wäldchen;Gewölbe- bzw. Bogenbrücke;Beton-Gewölbe;;7;Nein
B140d;Kornelimünsterweg II;Aachen;1;Durchlass / Straße;Rohrdurchlass;Beton-Rohr;;6;Ja
B140d;Kornelimünsterweg II;Aachen;2;Durchlass / Reitweg;Rohrdurchlass;Beton-Rohr;;3;Ja
B140d;Kornelimünsterweg II;Aachen;3;Durchlass / Gehweg;Rohrdurchlass;Beton-Rohr;;6;Ja
B141d;Ürsfelder Fußpfad I;Ürsfeld;;Durchlass;Rechteckdurchlass;Einfeld-Stahlbeton-Fertigteil-Rahmen;;16;Ja
B142d;Ürsfelder Fußpfad II;Ürsfeld;;Durchlass;Rechteckdurchlass;Einfeld-Stahlbeton-Platte;;4;Ja
B143;Ürsfelder Fußpfad III;Uersfeld;;Brücke;Plattenbrücke;Stahlbeton-Platte;;5;Nein
B145d;Freunder Heideweg;Brand;;Durchlass;Rohrdurchlass;Stahl-Rohr DN 800 / Auslauf Beton-Rohr DN 600;;19;Ja
B146-G;Am Mühlenteich;Haaren;;Holzbrücke;Balkenbrücke / Mittelträger / Trapezplatte;Zweifeld-Holzbrücke;2010;25;Nein
B147-W;Schloß-Rahe-Straße III;Laurensberg;;Brücke / Wildbach;Plattenbrücke;Einfeld-Stahlbeton-Platte;;19;Nein
B148-W;Schloß-Rahe-Straße IV;Laurensberg;;Holzbrücke;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Holzbrücke;;21;Nein
B149;Ürsfelder Fußpfad IV;Ürsfeld;;Holzbrücke;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Holzbrücke;;17;Nein
B151-W;Hausener Gasse;Laurensberg;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;;26;Nein
B152;Rödgerbach-Steg;Eilendorf;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;;3;Nein
B153d;Entenpfuhlerweg I;Preuswald;;Durchlass / Rohr;Rohrdurchlass;Beton-Rohr DN 400;;2;Ja
B154d;Entenpfuhlerweg II;Preuswald;;Durchlass / Rechteck;Rechteckdurchlass;Einfeld-Stahlbeton-Rahmen;;8;Ja
B155d;Schmithof Mühle II;Schmithof;;Durchlass / Am Haus-Nr. 8;Sonstiger Durchlassquerschnitt;Rechteck/Rohrdurchlass, Naturstein/Steinzeug;;16;Ja
B157d;Bremenberg;Horbach;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 900;;16;Ja
B158;Trautnerstraße;Aachen;;Brücke;Brücke mit balkenartigem oder plattenartigem Tragwerk;Einfeld-Stahlträger mit Holzbohlenbelag;;7;Nein
B159d;Düstergasse I;Aachen;;Durchlass;Rohrdurchlass;Stahlbetonrohr DN 500;;6;Ja
B160d-W;Camp Pirotte;Eilendorf;;Durchlass;Rechteckdurchlass;Einfeld-Stahlbeton-Kastenprofil;2002;17;Ja
B161d;Schurzelter Straße II;Laurensberg;;Durchlass / Mühlengraben;Rechteckdurchlass;Einfeld-Stahlbeton;;20;Ja
B162d;Aachener Straße III;Schleckheim;;Durchlass / Friedhof Schleckheim;Rohrdurchlass;Stahlbeton-Rohr DN 1000;1964;44;Ja
B163d;Aachener Straße II;Oberforstbach;;Durchlass / Eich;Rohrdurchlass;Stahlbeton-Rohr DN 1000;;20;Ja
B165;Bechheimer Bach II;Hahn;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;;3;Nein
B166d;Bechheimer Bach III;Hahn;;Durchlass;Rechteckdurchlass;Einfeld-Stahlbeton-Rahmen;;378;Ja
B167;Bechheimer Bach IV;Hahn;;Brücke / mit Sitzgelegenheit;Rahmenbrücke;Einfeld-Stahlbeton-Rahmen;;24;Nein
B168d;Kinkebahn;Lichtenbusch;;Durchlass;Sonstiger Durchlassquerschnitt;Stahlbeton-Rohr (Eiprofil);;19;Ja
B169d;Am Hasselholz I;Aachen;;Durchlass mit Sandfang;Rechteckdurchlass;Stahlbeton-Fertigteil;2014;43;Ja
B170d;Am Hasselholz II;Aachen;;Durchlass;Rohrdurchlass;Zwei Beton-Rohre DN 300;;3;Ja
B171d-G;Dorbach I;Königshügel;;Durchlass / vor der Brücke B115;Rohrdurchlass;Stahlbeton-Rohr  DN 1000;;9;Ja
B172d-G;Dorbach II;Königshügel;;Durchlass / unter der Brücke B115;Rohrdurchlass;Stahlbeton-Rohr  DN 1000;;29;Ja
B173d-G;Dorbach III;Königshügel;;Durchlass / vor der Brücke B114;Rohrdurchlass;Stahlbeton-Rohr;;7;Ja
B174;Hüttenbach;Aachen;;Brücke;Rahmenbrücke als Trog-Haube-Konstruktion;Trogbauwerk mit Platte als Überbau;2016;9;Nein
B175d;Augustinerweg I;Aachen;;Durchlass / Bach;Sonstiger Durchlassquerschnitt;Naturstein-Gewölbe;;9;Ja
B176d;II.-Rote-Haag-Weg I;Aachen;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr;;13;Ja
B177d;Pommerotter Weg;Aachen;;Durchlass;Rohrdurchlass;Beton-Rohr;;15;Ja
B178d-K;Hitfelder Straße I;Aachen;;Durchlass;Rohrdurchlass;Beton-Rohr;;12;Ja
B179d;Eilendorfer Straße;Brand;;Durchlass;Rohrdurchlass;Beton-Rohr;;50;Ja
B180d;Eselsweg II;Aachen;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 1000;2012;10;Ja
B181d-G;Sonnenscheinstraße;Aachen;;Durchlass;Sonstiger Durchlassquerschnitt;Naturstein-Gewölbe;;7;Ja
B182-W;Debyestraße;Eilendorf;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr;;67;Nein
B183d-W;Welsche-Mühle-Graben II;Haaren;;Durchlass;Rohrdurchlass;Beton-Rohr DN 800;;11;Ja
B184d;Rastplatz Königsberg I;Brand;;Durchlass;Rohrdurchlass;Beton-Rohr DN 800;;27;Ja
B185d;Rastplatz Königsberg II;Brand;;Durchlass;Rohrdurchlass;Beton-Rohr DN 650;;14;Ja
B186d;Komerischer Weg II;Brand;;Durchlass;Rechteckdurchlass;Stahlbetonrahmen;2014;15;Ja
B187d;Rote Gasse;Eich;;Durchlass;Rohrdurchlass;3teiliges Beton-Rohr-System;;24;Ja
B188d;Nütheimer Straße;Schleckheim;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 650;;20;Ja
B189d;Pascalstraße;Oberforstbach;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 500;;46;Ja
B191d;Schmithof Mühle I;Schmithof;;Durchlass / oben;Rechteckdurchlass;Naturstein-Widerlager mit Stahlbeton/Natursteinpl.;;26;Ja
B192d;Vorfluter Kappelweide;Brand;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 500;2008;44;Ja
B193d;Königsmühlenweg II;Walheim;;Durchlass / oben;Rohrdurchlass;Stahlbeton-Rohr DN 400 / Auslauf Rechteckdurchlass;;38;Ja
B194d;Schiltsgasse;Eilendorf;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 600;;6;Ja
B195d;Komerischer Weg III;Brand;;Durchlass / Kläranlage;Rohrdurchlass;Stahlbeton-Rohr;;33;Ja
B196d;Schönauer Friede;Richterich;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 1000;;18;Ja
B197-G;Westpark;Aachen;;Brücke;Bogenbrücke mit Bogenscheiben;Einfeld-Stahlbetonplatte;;18;Nein
B198-G;Hangeweiher;Aachen;;Brücke;Gewölbe-/Bogenbrücke mit Aufbeton ohne Verbund;Einfeld-Stahlbetonbogen;1925;22;Nein
B199-G;Im Johannistal;Aachen;;Brücke;Trogbrücke;Einfeld-Aluminiumfachwerktrogbrücke;2016;14;Nein
B200-G;Kennedypark;Aachen;;Brücke;Balkenbrücke / Mittelträger / Trapezplatte;Zweifeld-Stahlbrücke mit Holzbohlenbelag;;18;Nein
B201-G;Stadtgarten;Aachen;;Brücke;Bogenbrücke mit Bogenscheiben;Einfeld-Stahlbogenbrücke mit Holzbohlenbelag;;23;Nein
B202-G;Grünanlage Herderstraße;Aachen;;Brücke;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Stahlbrücke mit Holzbohlenbelag;2009;18;Nein
B203d;Branderhofer Weg;Aachen;;Durchlass;Sonstiger Durchlassquerschnitt;Ziegelstein-Gewölbe;;73;Ja
B204-G;Wilhelm-Pitz-Weg I;Aachen;;Brücke;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Profilstahlträgerbrücke;2015;18;Nein
B205-G;Wilhelm-Pitz-Weg II;Aachen;;Brücke;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Stahlträger;;13;Nein
B206-G;Wilhelm-Pitz-Weg III;Aachen;;Holzbrücke / oben;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Holzbalkenbrücke;2004;13;Nein
B207d;I. Rote-Haag-Weg;Steinebrück;;Durchlass / PVC-Rohr;Rohrdurchlass;PVC-Rohr;;5;Ja
B209-G;Neuköllner Str. I;Haaren;;Holzbrücke / Teichzulauf;Trogbrücke;Einfeld-Holzbrücke;;26;Nein
B211-G;Neuköllner Str. III;Haaren;;Brücke / klein;Brücke mit balkenartigem oder plattenartigem Tragwerk;Einfeld-Stahlbrücke mit Holzbohlenbelag;;8;Nein
B213-G;Zur Scheidmühle;Haaren;;Holzbrücke;Brücke mit balkenartigem oder plattenartigem Tragwerk;Einfeld-Holzbrücke;1990;29;Nein
B214-G;Holzbrücke Promenade;Kornelimünster;1;Holzbrücke / vorne;Brücke mit balkenartigem oder plattenartigem Tragwerk;Einfeld-Holzbogenbrücke;;5;Nein
B214-G;Holzbrücke Promenade;Kornelimünster;2;Holzbrücke / hinten;Brücke mit balkenartigem oder plattenartigem Tragwerk;Einfeld-Holzbogenbrücke;;5;Nein
B215-G;Grünenthal am Teich;Richterich;;Holzbrücke / am Teich;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Holzbrücke;;13;Nein
B216-G;Park Schloss-Schönau;Richterich;;Brücke;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Stahlträgerbrücke mit Holzbohlenbelag;;8;Nein
B217d;Kreuzerdriesch;Hitfeld;;Durchlass;Rohrdurchlass;Steinzeug-Rohr;;12;Ja
B219d;Pützgasse III;Brand;;Durchlass;Rohrdurchlass;Beton-Rohr DN 300;2007;11;Ja
B220d;Rindsbergweg;Brand;;Durchlass;Rohrdurchlass;Beton-Rohr DN 300;2007;4;Ja
B221d;Goldammerweg;Forst;;Durchlass;Durchlass;Beton-Rohr;;1;Ja
B222d;Ferberberg;Laurensberg;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 600;;10;Ja
B223d;Düstergasse II;Aachen;;Durchlass / am Teich;Sonstiger Durchlassquerschnitt;nicht erkennbar;;5;Ja
B224d;Durchlass Beeckwiese;Steppenberg;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 700;;5;Ja
B225d;Vaalser Straße IV;Steppenberg;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 800;;38;Ja
B226d;Schneebergweg;Laurensberg;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 600;;20;Ja
B228d;Burgstraße;Vaalserquartier;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 700;;13;Ja
B230d;Neukellerweg;Vaalserquartier;;Durchlass;Rohrdurchlass;Beton-Rohr DN 300;;3;Ja
B231d;Eburonenwinkel;Vaalserquartier;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 1000;;10;Ja
B232d;II.-Rote-Haag-Weg II;Aachen;1;Durchlass;Rohrdurchlass;Steinzeug-Rohr;;13;Ja
B232d;II.-Rote-Haag-Weg II;Aachen;2;Stützwand / links;Stützwand als Massivwand;Stahlbeton-Stützwand;;21;Nein
B232d;II.-Rote-Haag-Weg II;Aachen;3;Stützwand / rechts;Stützwand als Massivwand;Stahlbeton-Stützwand;;31;Nein
B233d-G;Auf Krummerück;Driescher Hof;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr;;9;Ja
B236d-K;Raerener Straße II;Lichtenbusch;;Durchlass;Rechteckdurchlass;Naturstein;;6;Ja
B237d-K;Raerener Straße III;Lichtenbusch;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 500;;14;Ja
B238d;Grüne Eiche I;Lichtenbusch;;Durchlass / vorne;Sonstiger Durchlassquerschnitt;Stahlbeton-Ei-Profil;;6;Ja
B239d;Grüne Eiche II;Lichtenbusch;;Durchlass / hinten;Rohrdurchlass;Stahlbeton-Rohr;2010;32;Ja
B240d;Augustinerweg II;Oberforstbach;;Durchlass / Graben;Rechteckdurchlass;Naturstein;;4;Ja
